id,name,description,courseId
18,"Yoga pour tous","<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif; color: rgb(34, 34, 34); background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Son style d&rsquo;enseignement est un m&eacute;lange de Hatha (yoga de base), Hatha Flow (en mouvement), yoga athl&eacute;tique, yoga th&eacute;rapeutique et m&eacute;ditation. Elle&nbsp;utilise la musique pour cr&eacute;er des encha&icirc;nements fluides tout en respectant l&rsquo;alignement, les besoins particuliers et la PR&Eacute;SENCE &Agrave; SOI. La correction posturale et l&rsquo;assistance personnalis&eacute;e sont tr&egrave;s pr&eacute;sentes tout comme le sont la d&eacute;tente et l&rsquo;humour.&nbsp;</span><br />&nbsp;</p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;""><span style=""font-size: 8pt; font-family: Arial, sans-serif; color: rgb(34, 34, 34);""><o:p></o:p></span></p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;""><span style=""font-size: 12pt; font-family: Arial, sans-serif; color: rgb(34, 34, 34); background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Comme le yoga ne concerne pas que les postures physiques, Alysson aime&nbsp;communiquer &agrave; ses &eacute;l&egrave;ves des parall&egrave;les importants avec la vie de tous les jours afin que dans leurs coeurs et leurs corps se cr&eacute;ent des espaces propices &agrave; la r&eacute;flexion, &agrave; l&#39;&eacute;panouissement personnel et &agrave; l&#39;ouverture de la Conscience.</span><br /><br /><span style=""font-size: 12pt; font-family: Arial, sans-serif; color: rgb(34, 34, 34); background-image: initial; background-attachment: initial; background-size: initial; background-origin: initial; background-clip: initial; background-position: initial; background-repeat: initial;"">Pour les gens qui veulent approfondir leur pratique et se reconnecter avec leur petite voix int&eacute;rieure, elle&nbsp;offre &eacute;galement des retraites de yoga d&#39;une journ&eacute;e &agrave; Sainte-Julienne o&ugrave; yoga, m&eacute;ditation et randonn&eacute;e en nature sont combin&eacute;s afin que priorit&eacute;s et directions puissent &eacute;merger librement. Pour plus d&#39;infos,&nbsp;<a href=""https://www.facebook.com/RetraitesDeYoga"">consultez sa page Facebook</a>.</span><br />&nbsp;</p>",12
20,"Méditation pour tous","",14
21,"Méditation pour 7 jeudis","",15
22,Viniyoga,"<p class=""MsoNormal""><em><span style=""mso-ansi-language:FR-CA;font-style:normal;
mso-bidi-font-style:italic"">Le viniyoga c&#39;est le yoga de l&#39;instant pr&eacute;sent, le yoga de la pleine conscience. C&#39;est un yoga progressif qui mise au d&eacute;part sur la conscience du souffle, l&#39;&eacute;tape la plus importante de la m&eacute;ditation. Pas &eacute;tonnant que les gens qui commencent &agrave; faire du yoga affirment qu&#39;ils recommencent &agrave; respirer... On y explore donc l&#39;expansion thoracique, la dilatation de l&#39;abdomen... tout se fait dans la pleine conscience.<br /><br />Les postures s&#39;encha&icirc;nent de fa&ccedil;on dynamique, en y int&eacute;grant aussi des moments de postures statiques pour pratiquer l&#39;endurance et l&rsquo;&eacute;quilibre. Elles sont toujours en harmonie avec le souffle, car tout au long des s&eacute;ances, c&#39;est lui qui nous guide.<br /><br />Le but ultime du viniyoga est de faire cesser l&#39;agitation du mental afin de revenir &agrave; la Source, le Soi. Ainsi, lorsque le mental est clair, il est beaucoup plus facile de prendre une d&eacute;cision, car ni les peurs, ni l&#39;&eacute;go, ni les d&eacute;sirs, ni les &eacute;motions peuvent interf&eacute;rer.&nbsp;<br /><br />Par les postures, les techniques de respiration et l&#39;observation de nos r&eacute;actions, le viniyoga nous fait forc&eacute;ment grandir, car l&#39;&eacute;tude que l&#39;on fait de soi nous am&egrave;ne &agrave; modifier certains comportements et &agrave; adopter des attitudes saines pour soi et pour les autres.<br /><br />Les postures nous apportent de la souplesse (autant au niveau physique que mental), un &eacute;tirement des muscles du corps, plus d&#39;endurance, un grand effet de calme, un &eacute;panouissement personnel, un meilleur rythme cardiaque, ainsi qu&rsquo;une meilleure gestion du stress et de l&#39;anxi&eacute;t&eacute;.<br /><br />Pour moi une s&eacute;ance de viniyoga c&#39;est la totale, car &ccedil;a me permet de faire le vide et le plein &agrave; la fois...<o:p></o:p></span></em></p><p class=""MsoNormal""><em><span style=""mso-ansi-language:FR-CA;font-style:normal;
mso-bidi-font-style:italic"">Bienvenue &agrave; tous ceux qui ont leur bien-&ecirc;tre &agrave; coeur <o:p></o:p></span></em></p><p class=""MsoNormal""><em><span lang=""EN-US"" style=""font-style:normal;mso-bidi-font-style:
italic"">Namast&eacute;&nbsp;<o:p></o:p></span></em></p>",9
23,"Hatha yoga","<p class=""MsoNormal"" style=""margin-bottom:0cm;margin-bottom:.0001pt;text-align:
justify;line-height:normal"">Le <b>Hatha yoga</b> signifie litt&eacute;ralement mettre en harmonie en nous l&rsquo;&eacute;nergie du Ha (force solaire, masculine) et du Tha (force lunaire, f&eacute;minine). Ces deux forces oppos&eacute;es mais compl&eacute;mentaires au sein du corps physique se trouvent harmonis&eacute;es peu &agrave; peu par la pratique r&eacute;guli&egrave;re qui renforce ce type de yoga. C&rsquo;est par les multiples postures soutenues et les diverses techniques de contr&ocirc;le du souffle que le praticien peut arriver de fa&ccedil;on progressive &agrave; un &eacute;tat de mieux-&ecirc;tre, une d&eacute;tente profonde du corps et du syst&egrave;me nerveux. Ainsi, l&rsquo;acquisition progressive de plus de force, d&rsquo;&eacute;quilibre et de souplesse lui conf&egrave;re une sant&eacute; optimale et le pousse &agrave; explorer sa r&eacute;alit&eacute; spirituelle unique. &nbsp;<o:p></o:p></p>",16
24,"Vinyasa yoga","<p class=""MsoNormal"" style=""mso-margin-top-alt:auto;mso-margin-bottom-alt:auto;
text-align:justify;line-height:normal"">Ses s&eacute;ances de <b>Vinyasa yoga</b> &nbsp;sont constitu&eacute;es d&rsquo;enchainements de postures dynamiques o&ugrave; la beaut&eacute; et la gr&acirc;ce des mouvements sont exprim&eacute;es en accord avec le souffle, la pr&eacute;sence &agrave; soi et &agrave; son corps. Ce yoga est le principal qu&rsquo;elle enseigne, &nbsp;son rythme soutenu est une v&eacute;ritable m&eacute;ditation en mouvement ce qui am&egrave;ne l&rsquo;esprit &agrave; faire cro&icirc;tre sa concentration en faisant taire le mental. L&rsquo;encha&icirc;nement vari&eacute; et synchronis&eacute; des postures permet d&rsquo;&eacute;veiller graduellement&nbsp;&laquo;les &eacute;nergies subtiles de la circulation&nbsp; et de faire &eacute;voluer son corps dans l&rsquo;espace comme une danse fluide. Le flot naturel des s&eacute;quences r&eacute;p&eacute;titives et diversifi&eacute;es permettent peu &agrave; peu de modeler son corps en lui octroyant l&rsquo;aisance, la mobilit&eacute; et la souplesse optimale pour faire &eacute;voluer l&rsquo;&eacute;l&egrave;ve au rythme de sa pratique en accroissant son &eacute;nergie et sa chaleur, ses capacit&eacute;s respiratoires et sa puissance. Ce style s&rsquo;adresse davantage aux gens qui souhaitent bouger de fa&ccedil;on dynamique et tonique.&nbsp;<span style=""font-size:12.0pt;font-family:&quot;Times New Roman&quot;,serif;
mso-fareast-font-family:&quot;Times New Roman&quot;;mso-ansi-language:FR-CA""><o:p></o:p></span></p>",16
25,"Qi Gong Francine Leduc","<p class=""MsoNormal"">Les Qi Gong (Qi: &eacute;nergie, Gong: travail), exercices de sant&eacute; chinois visent une pr&eacute;servation et une am&eacute;lioration globale de la sant&eacute;: physique, &eacute;motionnelle &nbsp;et mentale.<o:p></o:p></p><p class=""MsoNormal"">Les postures, respirations et techniques m&eacute;ditatives en sont la base.<o:p></o:p></p><p class=""MsoNormal"">Le cours <em>D&eacute;butant </em>permet &nbsp;l&#39;initiation au Qi&nbsp;Gong: pens&eacute;e, posture, respiration, notions th&eacute;oriques de base et pratique.<o:p></o:p></p><p class=""MsoNormal"">Le&nbsp;cours <em>Avanc&eacute;</em> permet l&#39;approfondissement des Qi Gong d&eacute;j&agrave; vus et l&#39;ajout de d&#39;autres Qi Gong qui se veulent plus&nbsp;sp&eacute;cifiques selon les saisons et l&#39;avancement des participants.<o:p></o:p></p><p class=""MsoNormal""><u>Une courte partie th&eacute;orique&nbsp;et la remise d&#39;une documentation en lien avec le cours</u>.facilite la compr&eacute;hension et la m&eacute;morisation des Qi Gong offerts, donc, la pratique &agrave; la maison.<o:p></o:p><br />* Les cours se donnent en petits groupes.<br /><br />Francine offre &eacute;galement des cours chez elle le mercredi de 13h30 &agrave; 15h et de 19h30 &agrave; 21h. Communiquez directement avec elle pour vous inscrire.</p><p class=""MsoNormal""><o:p></o:p></p>",17
26,"Atelier OUVRIR À SA SPENDEUR","<p>Bienvenue &agrave; tous!<br />AUX DEUX SEMAINES<br />Les jeudis:&nbsp;<br /><br />29 octobre<br />12 et 26 novembre</p>",18
27,"Rencontre avec Caroline Veilleux","<p>Pour davantage d&#39;informations, communiquer directement avec Caroline Veilleux<br />Prochaines dates: mercredi 3 juin. ( &agrave; l&#39;&Eacute;co-Boutique dans la salle de yoga!)</p>",19
28,"Soirée avec Sylvie Major","<p>D&eacute;but de la m&eacute;ditation : &nbsp;19h<br />Retour &agrave; soi : &nbsp;20h15<br />Sagesse des connaissances: jusqu&rsquo;&agrave; 20h30<br /><br />D&eacute;couvrir la voix de la croissance personnelle, livrez-vous &agrave; la m&eacute;ditation et&nbsp;apprenez &agrave; mieux vous conna&icirc;tre.</p><p>Nous employons des techniques sp&eacute;cialis&eacute;es permettant de contr&ocirc;ler le flux d&rsquo;&eacute;nergie profond et de ma&icirc;triser tous les aspects de votre vie afin d&rsquo;atteindre un bien-&ecirc;tre &agrave; la fois physique, &eacute;motionnel, et mental pour trouver la s&eacute;r&eacute;nit&eacute; et l&rsquo;&eacute;quilibre.&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;</p><p><u><strong>CALENDRIER DES M&Eacute;DITATIONS :</strong></u><br />M&eacute;diter pour se conna&icirc;tre :&nbsp;C&rsquo;est une suite de rencontre inter-reli&eacute;e avec un processus de changement et de gu&eacute;rison int&eacute;rieur.</p><ul><li>26 F&Eacute;VRIER: CUIVRE= SACR&Eacute;................................<strong>Pyramide de gu&eacute;rison</strong></li><li>4 MARS :&nbsp;JAUNE OR= SOLEIL INT&Eacute;RIEUR.............<strong>&Eacute;mergence de l&rsquo;individualit&eacute;</strong></li><li>11 MARS: VERT= S&rsquo;AIMER.....................................<strong>L&rsquo;expansion de vivre / l&rsquo;antre avec Dieu</strong></li><li>25 MARS: BLEU= COMMUNICATION.....................<strong>Horizon ciel et mer, les vagues de la vie</strong></li><li>1er&nbsp;AVRIL: INDIGO= CONTEMPLER.......................<strong>Maturit&eacute; et spiritualit&eacute;</strong></li><li>8 &nbsp;AVRIL : VIOLET= CONSCIENCE COSMIQUE......<strong>L&rsquo;&eacute;quilibre entre &nbsp;ciel et terre,&nbsp;les couronnes&nbsp;de la vie</strong></li><li>22 AVRIL : OR=L&rsquo;UNION ET EXPENSION...............<strong>La 1&egrave;re porte du ciel</strong></li><li>29 AVRIL : Encrage horizontal.................................<strong>Force subtile en action</strong></li></ul><p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<br /><u><strong>Roue de lumi&egrave;re</strong></u><br />Le mot CHAKRA vient de l&rsquo;ancien sanscrit et cela signifie : ROUE DE LUMI&Egrave;RE. Les roues de lumi&egrave;re sont garant de la sant&eacute; physique, de la stabilit&eacute; &eacute;motionnelle et de la paix mentale chez l&rsquo;&ecirc;tre humain.<br />OBJECTIF DE CES RENCONTRES&nbsp;</p><p>&bull;&nbsp;&nbsp; &nbsp;Apporte l&rsquo;amour et la sagesse<br />&bull;&nbsp;&nbsp; &nbsp;Ouverture de conscience&nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Vivre l&rsquo;instant pr&eacute;sent<br />&bull;&nbsp;&nbsp; &nbsp;Ressentir l&rsquo;&eacute;nergie subtile&nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Une paix int&eacute;rieure<br />&bull;&nbsp;&nbsp; &nbsp;Une vie en &eacute;quilibre<br />&bull;&nbsp;&nbsp; &nbsp;Un bien-&ecirc;tre<br />LE TOUT POUR VIVRE ENHARMONIE.<br />&nbsp;</p><p><u><strong>&Agrave; VENIR</strong></u> : &nbsp;la th&eacute;rapie des roues de lumi&egrave;re&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp;</p><p>M&Eacute;DITATION&nbsp;&nbsp;sur&nbsp;CHAISE Z&Eacute;RO GRAVIT&Eacute; =&nbsp;CONFORT ABSOLU<br />GUID&Eacute; par : SYVLIE MAJOR</p><p>L&rsquo;invitation &agrave; un voyage&nbsp;int&eacute;rieur au c&oelig;ur des sens&nbsp;sacr&eacute;s</p><p>N.B : SVP veuillez r&eacute;server vos chaises z&eacute;ro gravit&eacute; car les places sont limit&eacute;es.<br />R&Eacute;SERVATION : 514-998-9133 , <a href=""mailto:luniqueprojetdevie@hotmail.com?subject=M'inscrire%20%C3%A0%20la%20prochaine%20soir%C3%A9e%20avec%20Sylvie%20Major"">luniqueprojetdevie@hotmail.com</a></p><p>&nbsp;</p><p class=""MsoNormal""><span style=""font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;mso-bidi-font-family:&quot;Times New Roman&quot;;
mso-bidi-theme-font:minor-bidi;mso-fareast-language:FR-CA""><o:p></o:p></span></p>",20
29,"Rencontre privée",<p>Bienvenue!</p>,22
30,"Séance privée","<p><strong>S&eacute;ance priv&eacute;e:&nbsp;Lecture de l&rsquo;Aura et gu&eacute;rison &eacute;nerg&eacute;tique</strong><br />Accompagn&eacute; de Thot, Marie, Merlin&hellip;<br />Nous serons assis pour cette p&eacute;riode.</p><p>Au d&eacute;but balancement des chakras<br />Puis lecture des chakras de la base en montant.<br />Ouverture du c&oelig;ur - 3e &OElig;il &ndash; Base<br />Lecture des plans de l&rsquo;Aura &nbsp;et du plan Causal<br />Toujours dans le but de s&rsquo;ouvrir &agrave; la R&Eacute;ALISATION de son &Ecirc;TRE<br />de mieux se conna&icirc;tre et de l&rsquo;unification de toutes ses parties&hellip;</p><p><span style=""line-height: 20.8px;"">Dans la salle de yoga de l&#39;&Eacute;co-Boutique Un monde &agrave; vie&nbsp;</span><br style=""line-height: 20.8px;"" /><span style=""line-height: 20.8px;"">1h15: 70$</span></p><p><strong>S&eacute;ance priv&eacute;e : Soin &eacute;nerg&eacute;tique</strong><br />Accompagn&eacute; des Ma&icirc;tres, Ange Archages, Chirurgiens &eacute;nerg&eacute;tiques, Ma&icirc;tres encodeurs,<br />Certains sp&eacute;cialistes de diff&eacute;rentes m&eacute;decines, D&eacute;vas de la nature&hellip;<br />Vous serez couch&eacute; pour cette p&eacute;riode. &nbsp;1h</p><p>Pour une Harmonisation sur tous les plans de notre &Ecirc;tre et de son ADN.<br />R&eacute;alignement &eacute;nerg&eacute;tique, restructuration, r&eacute;encodage et j&rsquo;en passe&hellip;</p><p>Dans la salle de yoga de l&#39;&Eacute;co-Boutique Un monde &agrave; vie&nbsp;<br />1h15:&nbsp; 80$</p><p>Un jeudi sur 2,&nbsp;entre 10h &agrave; 15h&nbsp;<br />Bienvenue et au plaisir !<br />Charlotte Desjardins<br />R&eacute;servation &nbsp;450-822-8796 &nbsp; <a href=""mailto:charlottedesjardins@hotmail.ca   ?subject=S%C3%A9ance%20priv%C3%A9e"">charlottedesjardins@hotmail.ca &nbsp;&nbsp;</a></p>",18
32,"Yoga stretching","<p style=""line-height: 20.7999992370605px;"">Alliant le yoga Stretching (&eacute;tirement) et le yoga th&eacute;rapeutique, cette pratique consiste &agrave; &eacute;tirer les fascias, les ligaments et les muscles tout en privil&eacute;giant des postures qui ont un impact direct sur la flexibilit&eacute; du corps. Celles-ci seront soutenues &agrave; l&#39;aide de traversins, sangles, blocs et couvertures. Pratiqu&eacute;e le matin, cette forme de yoga permet de lib&eacute;rer les tensions, d&rsquo;ouvrir le corps et d&rsquo;entamer notre journ&eacute;e ou nos projets avec vitalit&eacute; et souplesse d&#39;esprit.</p>",24
33,"Yoga avec bébé","<p style=""line-height: 20.7999992370605px;"">Les cours de yoga avec b&eacute;b&eacute; s&#39;adressent aux mamans et aux papas qui veulent profiter d&#39;un moment de d&eacute;tente et de remise en forme tout en ayant leur b&eacute;b&eacute; &agrave; leurs c&ocirc;t&eacute;s. Il y a bien s&ucirc;r quelques exercices qui seront consacr&eacute;s aux b&eacute;b&eacute;s en fin de cours, mais le but premier n&#39;est pas, contrairement &agrave; ce qu&#39;on peut souvent penser, de faire faire du yoga aux b&eacute;b&eacute;s. Les postures qui sont faites avec le b&eacute;b&eacute; dans les bras ne sont pas non plus id&eacute;ales pour la posture de l&#39;adulte, je n&#39;en ferai donc pas faire aux &eacute;l&egrave;ves. C&#39;est avant tout un cours pour permettre aux parents de prendre un moment pour eux, chose rare apr&egrave;s la naissance d&#39;un enfant ! Je dis les mamans et papas car bien s&ucirc;r, c&#39;est surtout les mamans qui seront int&eacute;ress&eacute;es et disponibles pour les cours, mais il est tout de m&ecirc;me ouvert aux p&egrave;res. Le cours comprend des exercices d&#39;&eacute;tirement pour retrouver une bonne posture, qui peut &ecirc;tre alt&eacute;r&eacute;e par le fait de porter un b&eacute;b&eacute; de nombreuses heures par jour et par l&#39;allaitement qui peut donner des maux de dos. Il comprend aussi des exercices de tonification du p&eacute;rin&eacute;e et des abdominaux et des exercices de respiration et de relaxation en fin de cours. Il est fortement conseill&eacute; d&#39;apporter un coussin d&#39;allaitement pour pouvoir allaiter en tout confort si n&eacute;cessaire durant le cours, ou d&#39;installer au mieux son b&eacute;b&eacute;. Tout est permis durant le cours, le jeu, le repos, l&#39;allaitement et bien s&ucirc;r le changement de couches.&nbsp;</p>",25
34,"Yoga parent-enfant","<p><span style=""line-height: 20.7999992370605px;"">&laquo; Karine poursuit une formation de plus de 300 heures en m&eacute;ditation et yoga &agrave; l&rsquo;&eacute;cole de formation Christina Sergi. &nbsp;Elle sera dipl&ocirc;m&eacute;e au cours de la prochaine ann&eacute;e. &nbsp;Elle pratique &eacute;galement sur une base quotidienne, ce qui lui conf&egrave;re plus de 10 heures de yoga par semaine&hellip; &raquo;</span></p>",26
